,ID,Brand,Category,Gender,Name,Image URL,Price
1088,74.0,BOSS,T-Shirts,Mens,Cotton jersey T-shirt with curved logo,https://images.hugoboss.com/is/image/boss/hbeu50412363_482_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 680.00Price
1089,75.0,BOSS,T-Shirts,Mens,Stretch-cotton T-shirt with new-season logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452864_439_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 900.00Price
1090,76.0,BOSS,T-Shirts,Mens,Cotton-jersey T-shirt with new-season logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50450793_101_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1091,77.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in stretch cotton with layered logo,https://images.hugoboss.com/is/image/boss/hbeu50418749_679_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1092,78.0,BOSS,T-Shirts,Mens,Stretch-cotton T-shirt with botanical logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50448680_100_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1093,79.0,BOSS,T-Shirts,Mens,Cotton jersey T-shirt with curved logo,https://images.hugoboss.com/is/image/boss/hbeu50412363_447_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 680.00Price
1094,80.0,BOSS,T-Shirts,Mens,Logo T-shirt in a single-jersey cotton blend,https://images.hugoboss.com/is/image/boss/hbeu50430889_001_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1095,81.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in yarn-dyed single jersey,https://images.hugoboss.com/is/image/boss/hbeu50385281_342_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1096,82.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in single-jersey cotton,https://images.hugoboss.com/is/image/boss/hbeu50389364_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1097,83.0,BOSS,T-Shirts,Mens,Collection-themed T-shirt in stretch-cotton jersey,https://images.hugoboss.com/is/image/boss/hbeu50453086_410_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1098,84.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with striped logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452846_410_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1099,85.0,BOSS,T-Shirts,Mens,Stretch-cotton T-shirt with botanical logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50448680_635_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1100,86.0,BOSS,T-Shirts,Mens,Slim-fit T-shirt with long sleeves in waffle cotton,https://images.hugoboss.com/is/image/boss/hbeu50401846_051_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1101,87.0,BOSS,T-Shirts,Mens,Logo T-shirt in a single-jersey cotton blend,https://images.hugoboss.com/is/image/boss/hbeu50430889_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
